X1,Y1
0.8252987315288762,0.580684391214185
0.4439334166613399,0.5394528678622853
0.5205696269575625,0.9205546166700287
0.5894478465661387,0.5939614900467144
0.7702214681984715,0.0731189875151046
0.1961569185296903,0.8895102215926011
0.692412848154107,0.10925019069653885
0.4498108381656212,0.3951464967824895
0.6446298360844923,0.7558267578096934
0.02688785873672106,0.8617179341083012
0.49793706219645206,0.8918461221555296
0.5622191509674365,0.354087111030709
0.31964432786594954,0.6107234461625365
0.5604378157697847,0.12935878085278618
0.8042050360785133,0.09061287492414538
0.09570869235345159,0.9439552743454002
0.5972643089015188,0.3968386315574419
0.6663707095035561,0.9688389292959296
0.9989110494539912,0.44992883995171606
0.5124089711129309,0.21840392580676926
